stock_id,avg_vol20,avg_amp
3481,519726.97479999997,0.0688518946729655
2409,453614.03609999997,0.07746255491995105
2303,186701.0865,0.055990855412686905
2408,94069.13269999999,0.06761615824382695
1303,77196.2013,0.0729317279188039
1301,76740.66854999999,0.06254748247009996
2883,66455.61055000001,0.03215611366324682
2610,61482.36750000001,0.035907876506698695
2618,57978.59085,0.030816256837084534
2324,52835.77589999999,0.03935207993706425
2327,49780.112850000005,0.07605618933463773
2882,37258.695649999994,0.03521712501239087
2449,35020.23505,0.06562922299098525
2353,34136.3136,0.03681841590651177
2313,34095.803499999995,0.057157611764214425
2881,30620.336600000002,0.0347166420109449
3037,29652.144800000002,0.06687790900440208
3711,26490.55515,0.055399988058810024
2301,23897.730600000003,0.05414157365243717
4904,21125.2337,0.0319227793930372
2481,19266.228,0.0686061913243093
4938,14093.165350000001,0.03145097247367307
2308,10979.698699999999,0.050468314732200446
2454,9332.583200000001,0.049468953734168396
2347,9099.937450000001,0.037810891362659825
2458,8400.2549,0.05288002603748056
2498,7962.8602,0.043375991744404145
3034,6494.4738,0.0430891643279018
2645,6278.21815,0.057576711159543936
2376,5981.791500000001,0.030347699565719567
2474,5929.01285,0.03194677556454464
2379,5763.6529,0.060913957126146404
